,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
1071,백석중학교,중학교,1983-04-18,공립,본교,서울특별시 강서구 등촌동 520-5,서울특별시,강서구,등촌동,37.54829091,126.8589539
1072,서울디자인고등학교,고등학교,1955-01-12,사립,본교,서울특별시 마포구 염리동 150,서울특별시,마포구,염리동,37.54670177,126.9469053
1073,삼정고등학교,고등학교,1973-10-29,사립,본교,부산광역시 북구 구포동 1251-1,부산광역시,북구,구포동,35.19360082,129.0100284
1074,구서초등학교,초등학교,1980-12-30,공립,본교,부산광역시 금정구 구서동 752,부산광역시,금정구,구서동,35.25420144,129.0871404
1075,서울수명초등학교,초등학교,2008-04-30,공립,본교,서울특별시 강서구 내발산동 752,서울특별시,강서구,내발산동,37.55277267,126.8238445
1076,여의도고등학교,고등학교,1973-03-03,공립,본교,서울특별시 영등포구 여의도동 30-1,서울특별시,영등포구,여의도동,37.52505101,126.9342192
1077,서울상암초등학교,초등학교,1972-07-10,공립,본교,서울특별시 마포구 상암동 1635,서울특별시,마포구,상암동,37.57633795,126.8923219
1078,동일여자고등학교,고등학교,1968-09-10,사립,본교,서울특별시 금천구 시흥동 산100-4,서울특별시,금천구,시흥동,37.45193626,126.9158199
1079,서울동답초등학교,초등학교,1984-05-23,공립,본교,서울특별시 동대문구 답십리동 2-24,서울특별시,동대문구,답십리동,37.57150142,127.0640341
1080,서울태릉초등학교,초등학교,1986-05-01,공립,본교,서울특별시 노원구 공릉동 250-5,서울특별시,노원구,공릉동,37.6231024,127.0850589
1081,서울북한산초등학교,초등학교,1967-03-25,공립,본교,서울특별시 은평구 진관동 산3,서울특별시,은평구,진관동,37.65363208,126.9504624
1082,화곡보건경영고등학교,고등학교,1987-09-16,사립,본교,서울특별시 강서구 내발산동 715,서울특별시,강서구,내발산동,37.5484056,126.8326573
1083,대원여자고등학교,고등학교,1983-05-20,사립,본교,서울특별시 광진구 중곡동 176-124,서울특별시,광진구,중곡동,37.56249619,127.0894052
1084,서울국제고등학교,고등학교,2008-05-07,공립,본교,서울특별시 종로구 명륜1가 1-27,서울특별시,종로구,명륜1가,37.59179115,126.9954907
1085,양진중학교,중학교,2006-05-14,공립,본교,서울특별시 광진구 광장동 414-1,서울특별시,광진구,광장동,37.54457517,127.0983485
1086,선린인터넷고등학교,고등학교,1899-06-24,공립,본교,서울특별시 용산구 청파동3가 131-2,서울특별시,용산구,청파동3가,37.54278138,126.9660387
1087,신서중학교,중학교,1983-05-06,공립,본교,서울특별시 양천구 신정동 310-6,서울특별시,양천구,신정동,37.51596644,126.8550164
1088,신상중학교,중학교,1988-05-04,공립,본교,서울특별시 노원구 상계동 754-4,서울특별시,노원구,상계동,37.65190308,127.0639869
1089,상경중학교,중학교,1989-04-27,공립,본교,서울특별시 노원구 상계동 653,서울특별시,노원구,상계동,37.66714877,127.0537053
1090,지산고등학교,고등학교,1990-04-18,사립,본교,부산광역시 금정구 부곡동 8-11,부산광역시,금정구,부곡동,35.24337608,129.098813
1091,효문중학교,중학교,2006-03-01,공립,본교,서울특별시 도봉구 쌍문동 468,서울특별시,도봉구,쌍문동,37.65269871,127.0184005
1092,부산과학고등학교,고등학교,2003-03-01,공립,본교,부산광역시 금정구 구서동 915,부산광역시,금정구,구서동,35.26378066,129.0833789
1093,백암고등학교,고등학교,1984-12-17,사립,본교,서울특별시 양천구 신정동 733,서울특별시,양천구,신정동,37.51219626,126.844377
1094,배재중학교,중학교,1885-06-08,사립,본교,서울특별시 강동구 고덕동 313,서울특별시,강동구,고덕동,37.55505939,127.1502473
1095,부경고등학교,고등학교,1945-11-14,공립,본교,부산광역시 서구 서대신동3가 521,부산광역시,서구,서대신동3가,35.1157788,129.0133065
1096,서울계남초등학교,초등학교,1979-05-06,공립,본교,서울특별시 양천구 신정동 325-7,서울특별시,양천구,신정동,37.51016776,126.8600159
