"구·군별(1)",구·군별(2),2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01
"구·군별(1)",구·군별(2),총인구,총인구,총인구,총인구,한국인,한국인,한국인,한국인,외국인,외국인,외국인,총인구,총인구,총인구,총인구,한국인,한국인,한국인,한국인,외국인,외국인,외국인
"구·군별(1)",구·군별(2),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),인구 (명),남자인구 (명),여자인구 (명)
"부산진구",부암3동,8114,21492,10731,10761,8114,21425,10711,10714,67,20,47,8067,21347,10659,10688,8067,21277,10638,10639,70,21,49
"부산진구",당감1동,10662,26270,12629,13641,10662,26093,12573,13520,177,56,121,10662,26245,12634,13611,10662,26070,12578,13492,175,56,119
"부산진구",당감2동,4221,10305,5045,5260,4221,10256,5031,5225,49,14,35,4196,10249,5014,5235,4196,10200,5000,5200,49,14,35
"부산진구",당감4동,5334,12928,6341,6587,5334,12841,6308,6533,87,33,54,5350,12952,6353,6599,5350,12867,6322,6545,85,31,54
"부산진구",가야1동,10279,21946,10977,10969,10279,21546,10812,10734,400,165,235,10280,21904,10965,10939,10280,21524,10805,10719,380,160,220
"부산진구",가야2동,7192,18249,8990,9259,7192,18144,8959,9185,105,31,74,7183,18209,8970,9239,7183,18105,8940,9165,104,30,74
"부산진구",개금1동,7635,15388,7427,7961,7635,15241,7377,7864,147,50,97,7630,15405,7435,7970,7630,15253,7382,7871,152,53,99
"부산진구",개금2동,5070,12553,6184,6369,5070,12470,6147,6323,83,37,46,5067,12515,6160,6355,5067,12437,6127,6310,78,33,45
"부산진구",개금3동,12390,31883,15518,16365,12390,31777,15479,16298,106,39,67,12393,31828,15493,16335,12393,31719,15451,16268,109,42,67
"부산진구",범천1동,6103,11124,5354,5770,6103,11002,5304,5698,122,50,72,6125,11142,5358,5784,6125,11028,5312,5716,114,46,68
"부산진구",범천2동,10053,21602,10685,10917,10053,21458,10641,10817,144,44,100,10018,21493,10629,10864,10018,21354,10587,10767,139,42,97
"동래구",소계,108609,271967,133173,138794,108609,270727,132673,138054,1240,500,740,108560,271448,132910,138538,108560,270230,132420,137810,1218,490,728
"동래구",수민동,12005,31542,15502,16040,12005,31394,15443,15951,148,59,89,12015,31512,15504,16008,12015,31366,15445,15921,146,59,87
"동래구",복산동,5223,11863,5841,6022,5223,11808,5819,5989,55,22,33,5227,11821,5816,6005,5227,11769,5796,5973,52,20,32
"동래구",명륜동,8485,23184,11366,11818,8485,23103,11331,11772,81,35,46,8467,23132,11348,11784,8467,23047,11309,11738,85,39,46
"동래구",온천1동,10737,21037,10064,10973,10737,20791,9952,10839,246,112,134,10738,21005,10060,10945,10738,20767,9950,10817,238,110,128
"동래구",온천2동,6596,16958,8223,8735,6596,16881,8192,8689,77,31,46,6571,16875,8175,8700,6571,16794,8143,8651,81,32,49
"동래구",온천3동,14674,35198,17355,17843,14674,35034,17290,17744,164,65,99,14693,35209,17345,17864,14693,35049,17283,17766,160,62,98
"동래구",사직1동,4141,9916,4765,5151,4141,9872,4746,5126,44,19,25,4161,9911,4771,5140,4161,9865,4750,5115,46,21,25
"동래구",사직2동,9854,30416,14803,15613,9854,30336,14776,15560,80,27,53,9845,30351,14769,15582,9845,30285,14751,15534,66,18,48
"동래구",사직3동,6731,16216,8065,8151,6731,16145,8032,8113,71,33,38,6720,16191,8050,8141,6720,16120,8017,8103,71,33,38
"동래구",안락1동,6822,15970,7953,8017,6822,15872,7917,7955,98,36,62,6822,15940,7923,8017,6822,15843,7887,7956,97,36,61
"동래구",안락2동,11812,31912,15599,16313,11812,31820,15570,16250,92,29,63,11804,31832,15552,16280,11804,31739,15523,16216,93,29,64
"동래구",명장1동,5612,13117,6437,6680,5612,13077,6421,6656,40,16,24,5585,13053,6406,6647,5585,13012,6390,6622,41,16,25
