"동별(1)",동별(2),동별(3),2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",서초구,서초3동,13053,30754,15087,15667,30455,14947,15508,299,140,159,2.33,4259
"합계",서초구,서초4동,10922,31817,15423,16394,31534,15258,16276,283,165,118,2.89,3714
"합계",서초구,잠원동,13990,34962,16639,18323,34740,16536,18204,222,103,119,2.48,3634
"합계",서초구,반포본동,4223,12583,5954,6629,12528,5926,6602,55,28,27,2.97,1830
"합계",서초구,반포1동,14085,32109,15445,16664,31761,15293,16468,348,152,196,2.25,3068
"합계",서초구,반포2동,5295,16761,8017,8744,16594,7942,8652,167,75,92,3.13,1802
"합계",서초구,반포3동,7041,20434,9680,10754,20380,9648,10732,54,32,22,2.89,2345
"합계",서초구,반포4동,7418,20600,9777,10823,20040,9476,10564,560,301,259,2.70,2547
"합계",서초구,방배본동,7918,21746,10109,11637,21549,10010,11539,197,99,98,2.72,2801
"합계",서초구,방배1동,7578,17683,8303,9380,17576,8254,9322,107,49,58,2.32,2574
"합계",서초구,방배2동,9350,22491,10663,11828,22340,10590,11750,151,73,78,2.39,3433
"합계",서초구,방배3동,8415,22268,10728,11540,22137,10668,11469,131,60,71,2.63,3412
"합계",서초구,방배4동,9737,24442,11275,13167,24107,11119,12988,335,156,179,2.48,3164
"합계",서초구,양재1동,18319,46713,22368,24345,46332,22182,24150,381,186,195,2.53,5970
"합계",서초구,양재2동,11036,24032,12073,11959,23757,11931,11826,275,142,133,2.15,2633
"합계",서초구,내곡동,7218,18688,9134,9554,18616,9103,9513,72,31,41,2.58,2830
"합계",강남구,소계,228775,547453,262203,285250,542364,259611,282753,5089,2592,2497,2.37,67085
"합계",강남구,신사동,12944,26442,13332,13110,23108,11606,11502,3334,1726,1608,1.79,3241
"합계",강남구,논현1동,14168,24061,11131,12930,23460,10854,12606,601,277,324,1.66,2731
"합계",강남구,논현2동,11305,22304,10451,11853,22007,10313,11694,297,138,159,1.95,2913
"합계",강남구,삼성1동,5909,15252,7676,7576,14899,7449,7450,353,227,126,2.52,2014
"합계",강남구,삼성2동,13221,30492,14537,15955,30252,14397,15855,240,140,100,2.29,3145
"합계",강남구,대치1동,7464,25590,12858,12732,25526,12822,12704,64,36,28,3.42,2199
"합계",강남구,대치2동,13282,40163,20421,19742,39991,20321,19670,172,100,72,3.01,4180
